Id_vuelo,ingresos
Air_GiCa_11380,110108.07
Air_GiCi_11320,270150.73
Tab_RoNu_10737,248170.66
Tab_GiNu_11380,403373.01
Air_CiCa_10747,406616.7
Fly_RoCi_11380,461132.41
Mol_PaLo_10747,20473.71
Tab_RoNu_11320,279534.74
Mol_CaLo_11380,107529.92
Mol_BaMe_11380,178872.9
Pam_BaPa_10747,689854.62
Tab_RoGi_10747,42073.88
Air_CiPa_10737,232331.04
Mol_MeBa_10747,168431.23
Tab_NuRo_10737,240972.01
Tab_NuCi_10747,53019.72
Air_GiLo_10737,326405.35
Mol_CiCa_11380,399927.63
Mol_LoMe_11380,1092709.68
Fly_RoCi_10747,423347.48
Mol_BaMe_10747,161693.56
Fly_RoNu_11320,270457.15
Fly_CiGi_11380,443739.94
Mol_LoCi_10747,376421.17
Air_LoCi_10737,105371.44
Tab_GiCi_10747,428535.82
Fly_CiNu_10747,51369.97
Air_GiPa_10747,24336.11
Air_CiLo_11320,117201.01
Air_LoGi_10737,330558.13
Air_CiLo_11380,196746.2
Fly_RoNu_10737,241593.94
Tab_RoGi_11380,42591.66
Mol_MePa_10747,1038244.08
Fly_NuGi_10737,228802.9
Tab_CiGi_11380,441766.98
Pam_BaNu_11380,1050273.12
Fly_BaCi_10747,885987.34
Tab_LoCi_10737,105983.31
Tab_CiNu_10747,51932.3
Pam_PaNu_11320,226927.89
Pam_PaMe_10737,613840.97
Fly_GiCi_11320,276556.71
Mol_LoCa_10747,101035.39
Mol_BaPa_11380,723514.93
Fly_NuCi_10747,52605.74
Mol_BaCa_11380,819723.91
Mol_PaCa_10737,49843.91
Air_PaBa_10747,737031.1
Fly_CiGi_11320,262518.49
Air_BaCi_11380,918577.24
Pam_GiNu_11320,236907.12
Mol_BaCa_10737,439024.17
Pam_GiLo_11320,28134.93
Mol_MeCi_11380,997458.26
Mol_LoBa_11380,794055.41
Pam_BaLo_11380,824621.7
Pam_GiNu_11380,374077.69
Pam_PaGi_10737,14657.94
Pam_BaMe_10747,163124.53
Tab_GiRo_10737,24801.97
Mol_CiPa_10737,227663.54
Mol_PaCi_10737,223799.21
Air_LoCi_11380,202491.15
Mol_CiCa_10747,390751.03
Air_GiPa_11320,16529.51
Air_CiGi_11380,449166.14
Fly_RoNu_10747,422741.62
Tab_GiRo_10747,42661.72
Mol_CiMe_10737,529844.84
Pam_GiPa_11320,15671.59
Fly_GiNu_10747,355699.15
Pam_GiLo_10737,26989.43
Air_LoCi_10747,186827.04
Mol_CaMe_10747,1183151.27
Pam_NuBa_10737,587466.45
Tab_GiLo_11320,368559.08
Fly_GiNu_11320,239466.95
Pam_MeNu_10747,976989.49
Tab_RoCi_11320,292376.61
Tab_GiCi_10737,254721.59
Air_CiGi_10747,416677.91
Pam_NuGi_10737,223311.33
Mol_LoCi_11380,387906.28
Tab_NuLo_11320,227796.7
Air_GiLo_10747,536283.52
Pam_NuPa_10737,209806.5
Pam_LoGi_10737,26541.02
Pam_LoMe_10737,612065.13
Fly_CiBa_11380,413988.84
Fly_GiBa_10737,432476.61
Fly_BaRo_11380,776663.88
Pam_GiLo_11380,48224.9
Fly_NuCi_10737,32183.37
Fly_BaCi_11320,276262.32
Fly_NuCi_11320,35093.73
Mol_PaLo_11380,20902.39
Mol_CaPa_11320,54550.79
Fly_RoNu_11380,429377.42
Mol_CiLo_11320,249156.11
Air_CaBa_10747,754191.0
Tab_GiCi_11380,423371.06
Pam_NuPa_10747,360338.37
Pam_NuMe_10747,952688.76
Pam_LoGi_11320,28007.41
Pam_BaLo_10737,442668.52
Air_LoCa_10737,339943.47
Pam_NuLo_11320,220563.17
Air_LoGi_11320,347686.57
Mol_LoCa_10737,62944.41
Pam_MePa_10737,608843.11
Tab_CiLo_10737,227964.62
Mol_CiPa_10747,388349.45
Mol_LoMe_10747,957690.43
Fly_GiNu_11380,405544.89
Pam_LoNu_11320,224950.75
Pam_LoGi_11380,46588.5
Pam_LoNu_11380,362411.17
Mol_CaCi_11380,423590.1
Mol_BaMe_11320,114038.76
Air_BaLo_11380,779223.1
Tab_CiLo_11320,249066.44
Fly_NuBa_10747,370553.62
Tab_NuRo_10747,417287.11
Fly_NuCi_11380,56655.43
Pam_GiBa_10747,724796.13
Pam_PaLo_10747,20155.75
Air_CaCi_11380,429287.71
Pam_PaGi_10747,23810.69
Mol_CaLo_11320,65184.74
Air_PaGi_10747,23911.79
Air_CiLo_10747,186457.32
Mol_MeCi_10747,931910.6
Fly_RoCi_10737,265194.4
Pam_GiPa_10737,14706.69
Air_CiBa_11380,950897.7
Pam_NuLo_10737,193391.9
Air_PaCi_10747,377023.74
Air_PaGi_10737,14766.68
Pam_MePa_11380,1092518.44
Pam_GiBa_11380,788245.98
Mol_PaBa_11380,764532.47
Air_PaBa_11380,735958.02
Pam_GiBa_10737,429879.41
Mol_LoCa_11380,110709.3
Pam_BaMe_11380,172542.21
Mol_LoCa_11320,65267.12
Mol_BaCi_11380,942145.55
Pam_NuLo_11380,341602.97
Fly_GiRo_11320,26999.79
Fly_CiRo_11380,482981.93
Pam_PaBa_10737,425741.31
Tab_LoNu_11320,155219.86
Tab_CiNu_11380,58057.28
Fly_RoGi_10747,41158.05
Pam_PaLo_11380,21578.16
Pam_MeLo_10747,1006877.01
Fly_NuRo_10737,246551.62
Pam_GiPa_11380,27132.37
Air_LoBa_11380,803583.74
Air_CaLo_11380,567713.25
Pam_PaGi_11380,25739.92
Air_PaCi_11320,251167.72
Pam_LoBa_11380,795782.99
Fly_GiCi_10737,246593.24
Pam_BaNu_10737,602596.55
Fly_CiNu_11320,35053.85
Air_LoGi_11380,568255.84
Mol_MeCa_10737,682303.69
Tab_RoGi_11320,26208.98
Pam_LoMe_11380,1053875.55
Mol_LoPa_10737,12413.12
Mol_BaMe_10737,95936.88
Air_CiBa_10737,531157.39
Air_PaCi_11380,390653.93
Air_CiCa_10737,225229.33
Mol_CiPa_11380,412082.82
Air_LoPa_10747,560433.83
Mol_PaMe_10747,1026163.72
Mol_CaPa_11380,93581.95
Fly_BaNu_11320,245586.23
Pam_MeGi_11380,1081369.98
Tab_NuGi_11380,408792.61
Tab_RoCi_11380,462132.88
Tab_NuLo_10737,136929.77
Pam_LoBa_10747,713482.82
Fly_NuRo_10747,423297.4
Mol_MeLo_11380,1087235.02
Pam_NuGi_11320,253203.47
Mol_LoPa_11380,21498.27
Pam_PaNu_10737,216222.5
Mol_PaCa_11320,59569.46
Mol_PaBa_10737,422859.84
Mol_CaMe_11380,1213685.66
Air_CiCa_11380,403370.97
Mol_CiCa_11320,255926.19
Pam_GiNu_10737,215524.43
Mol_CiLo_11380,386596.37
Pam_BaGi_10737,456649.46
Tab_CiNu_11320,37571.81
Fly_BaGi_11320,26074.0
Fly_CiRo_11320,281596.81
Mol_LoCi_11320,248723.27
Tab_LoLo_10737,303857.31
Air_GiPa_11380,26376.1
Mol_MeBa_10737,100156.47
Tab_LoLo_11380,537898.51
Air_CaPa_11380,91549.88
Pam_PaMe_10747,992778.07
Mol_MeCa_11380,1294101.68
Tab_RoLo_11380,90554.51
Pam_LoPa_10737,12179.44
Pam_MePa_10747,1033276.55
Fly_CiBa_11320,270901.26
Mol_LoPa_11320,12949.53
Tab_CiRo_10737,267317.99
Air_CaPa_11320,59679.49
Mol_CiLo_10747,385467.61
