,Year,Major,Gender,Admission
0,1973,School of Medicine,F,Rejected
1,1973,Department of Economics,M,Accepted
2,1973,Other,F,Accepted
3,1973,Other,M,Accepted
4,1973,Other,M,Rejected
5,1973,Other,M,Rejected
6,1973,Department of Psychology,F,Accepted
7,1973,Other,M,Accepted
8,1973,Other,M,Rejected
9,1973,Department of Physics and Astronomy,M,Accepted
10,1973,Other,F,Rejected
11,1973,Department of Economics,M,Accepted
12,1973,School of Medicine,M,Rejected
13,1973,Department of Physics and Astronomy,M,Rejected
14,1973,Other,M,Rejected
15,1973,Other,F,Rejected
16,1973,Department of Physics and Astronomy,M,Accepted
17,1973,Other,F,Accepted
18,1973,Other,M,Rejected
19,1973,Department of Psychology,M,Rejected
20,1973,Other,M,Rejected
21,1973,School of Medicine,M,Accepted
22,1973,School of Medicine,F,Rejected
23,1973,Other,M,Rejected
24,1973,Other,F,Rejected
25,1973,Other,M,Rejected
26,1973,Other,M,Rejected
27,1973,Other,M,Rejected
28,1973,School of Medicine,M,Rejected
29,1973,Other,M,Rejected
30,1973,Other,M,Accepted
31,1973,Department of Psychology,F,Rejected
32,1973,Department of Psychology,M,Rejected
33,1973,Department of Mechanical Engineering,M,Rejected
34,1973,Other,M,Rejected
35,1973,Other,F,Rejected
36,1973,Other,F,Rejected
37,1973,School of Medicine,F,Accepted
38,1973,Other,M,Rejected
39,1973,Other,M,Accepted
40,1973,Department of Physics and Astronomy,M,Rejected
41,1973,Other,M,Accepted
42,1973,Department of Physics and Astronomy,M,Accepted
43,1973,Department of Physics and Astronomy,M,Rejected
44,1973,Other,M,Rejected
45,1973,Other,M,Accepted
46,1973,Other,M,Accepted
47,1973,Department of Psychology,M,Rejected
48,1973,Other,M,Rejected
49,1973,Other,M,Rejected
50,1973,Other,F,Rejected
51,1973,Other,M,Accepted
52,1973,Other,M,Rejected
53,1973,Other,M,Rejected
54,1973,Other,M,Accepted
55,1973,Department of Physics and Astronomy,M,Rejected
56,1973,Other,M,Rejected
57,1973,Other,M,Accepted
58,1973,School of Medicine,F,Accepted
59,1973,Other,F,Rejected
60,1973,Other,M,Rejected
61,1973,Other,M,Accepted
62,1973,School of Medicine,F,Rejected
63,1973,Other,M,Rejected
64,1973,Other,F,Rejected
65,1973,Other,M,Accepted
66,1973,School of Political Science and International Relations,M,Rejected
67,1973,Department of Economics,M,Rejected
68,1973,Department of Physics and Astronomy,M,Rejected
69,1973,Department of Mechanical Engineering,M,Accepted
70,1973,School of Medicine,F,Rejected
71,1973,Other,M,Accepted
72,1973,School of Medicine,F,Rejected
73,1973,School of Medicine,M,Rejected
74,1973,Department of Psychology,F,Rejected
75,1973,Other,M,Rejected
76,1973,Department of Economics,M,Accepted
77,1973,Department of Mechanical Engineering,F,Rejected
78,1973,Other,M,Accepted
79,1973,Other,F,Rejected
80,1973,Other,M,Rejected
81,1973,Other,M,Accepted
82,1973,Other,M,Accepted
83,1973,Department of Mechanical Engineering,F,Rejected
84,1973,School of Medicine,F,Accepted
85,1973,School of Medicine,F,Rejected
86,1973,Department of Psychology,M,Rejected
87,1973,Other,F,Rejected
88,1973,Other,M,Accepted
89,1973,Other,F,Rejected
90,1973,Other,M,Accepted
91,1973,School of Medicine,M,Accepted
92,1973,School of Political Science and International Relations,F,Accepted
93,1973,Department of Psychology,F,Rejected
94,1973,School of Medicine,F,Accepted
95,1973,Other,M,Rejected
96,1973,Other,M,Rejected
97,1973,Department of Mechanical Engineering,M,Rejected
98,1973,Other,M,Rejected
99,1973,Other,F,Rejected
100,1973,Department of Physics and Astronomy,M,Accepted
101,1973,Other,M,Rejected
102,1973,Other,F,Accepted
103,1973,Department of Economics,M,Accepted
104,1973,Other,M,Rejected
105,1973,Department of Mechanical Engineering,F,Rejected
106,1973,Other,M,Rejected
107,1973,Department of Mechanical Engineering,M,Rejected
108,1973,Department of Economics,M,Rejected
109,1973,Department of Psychology,M,Rejected
110,1973,School of Medicine,F,Accepted
111,1973,Other,M,Rejected
112,1973,Other,F,Accepted
113,1973,Other,F,Accepted
114,1973,Department of Mechanical Engineering,F,Rejected
115,1973,Other,F,Rejected
116,1973,School of Medicine,F,Rejected
117,1973,Department of Psychology,M,Rejected
118,1973,Other,M,Accepted
119,1973,Department of Economics,M,Rejected
120,1973,Other,M,Accepted
121,1973,Other,M,Rejected
122,1973,Department of Physics and Astronomy,M,Accepted
123,1973,Other,M,Rejected
124,1973,Department of Mechanical Engineering,F,Rejected
125,1973,Department of Mechanical Engineering,F,Accepted
126,1973,School of Political Science and International Relations,M,Accepted
127,1973,Department of Mechanical Engineering,M,Rejected
128,1973,Other,M,Accepted
129,1973,Other,M,Accepted
130,1973,Other,M,Accepted
131,1973,Other,F,Rejected
132,1973,School of Medicine,F,Rejected
133,1973,Department of Economics,M,Rejected
134,1973,Other,F,Rejected
135,1973,Department of Physics and Astronomy,M,Rejected
136,1973,Other,F,Accepted
137,1973,Department of Psychology,M,Rejected
138,1973,School of Political Science and International Relations,F,Accepted
139,1973,School of Political Science and International Relations,F,Rejected
140,1973,Department of Physics and Astronomy,M,Accepted
141,1973,Other,M,Accepted
142,1973,Department of Psychology,M,Accepted
143,1973,School of Medicine,M,Accepted
144,1973,Department of Physics and Astronomy,M,Accepted
145,1973,Other,M,Rejected
146,1973,Other,M,Rejected
147,1973,Other,M,Accepted
