aircompany,origen,destino,distancia,avion,con_escala,consumo_kg,duracion,ingresos,id_vuelo,mes
PamPangea,Nueva York,Londres,5566,Airbus A320,True,15255.96072,523,220563.17,Pam_NuLo_11320,Jul23
TabarAir,Cincinnati,Los Angeles,3073,Airbus A380,False,36234.3576,224,192311.81,Tab_CiLo_11380,Jul23
FlyQ,Barcelona,Roma,859,Boeing 747,False,9248.5094,77,52866.89,Fly_BaRo_10747,Jul23
PamPangea,Ginebra,Bali,12383,Boeing 747,False,138602.919,845,723138.29,Pam_GiBa_10747,Jul23
MoldaviAir,Cádiz,Bali,12798,Airbus A380,False,150903.7776,873,807447.93,Mol_CaBa_11380,Jul23
Airnar,Los Angeles,Ginebra,9103,Airbus A320,True,26138.71832,779,347686.57,Air_LoGi_11320,Jul23
FlyQ,Roma,Barcelona,859,Airbus A380,False,10724.4432,77,52566.3,Fly_RoBa_11380,Jul23
TabarAir,Ginebra,Londres,739,Boeing 747,False,8271.627,69,45212.09,Tab_GiLo_10747,Jul23
MoldaviAir,Londres,Cádiz,1716,Boeing 737,False,4253.2776,150,62944.41,Mol_LoCa_10737,Jul23
Airnar,París,Bali,11980,Airbus A380,False,148183.016,818,778562.65,Air_PaBa_11380,Jul23
PamPangea,Melbourne,París,16925,Boeing 737,True,43200.5886,1485,608843.11,Pam_MePa_10737,Jul23
TabarAir,Ginebra,Londres,739,Airbus A380,False,9140.8388,69,47935.86,Tab_GiLo_11380,Jul23
MoldaviAir,Cincinnati,Cádiz,6624,Airbus A320,True,17291.2896,600,249711.63,Mol_CiCa_11320,Jul23
PamPangea,Ginebra,Melbourne,16674,Boeing 737,True,46352.38608000001,1466,598342.51,Pam_GiMe_10737,Jul23
PamPangea,Ginebra,París,411,Boeing 737,False,1078.6284,51,14973.08,Pam_GiPa_10737,Jul23
Airnar,Bali,Cádiz,12798,Boeing 747,True,146140.259616,1053,721825.66,Air_BaCa_10747,Jul23
MoldaviAir,Bali,Cincinnati,15011,Airbus A380,True,191296.341184,1200,920658.57,Mol_BaCi_11380,Jul23
TabarAir,Ginebra,Los Angeles,9103,Boeing 737,False,24111.1161,711,319716.47,Tab_GiLo_10737,Jul23
PamPangea,Melbourne,Ginebra,16674,Boeing 747,True,188551.726272,1311,966263.45,Pam_MeGi_10747,Jul23
MoldaviAir,Cádiz,Londres,1716,Airbus A320,False,4694.8044,144,69441.75,Mol_CaLo_11320,Jul23
PamPangea,Melbourne,París,16925,Airbus A380,True,223827.032,1328,1037400.32,Pam_MePa_11380,Jul23
TabarAir,Cincinnati,Londres,6284,Airbus A380,False,77001.62240000001,438,411702.27,Tab_CiLo_11380,Jul23
Airnar,Cádiz,París,1447,Airbus A320,False,3704.6094,124,59351.99,Air_CaPa_11320,Jul23
TabarAir,Cincinnati,Londres,6284,Boeing 737,False,15270.12,497,227964.62,Tab_CiLo_10737,Jul23
MoldaviAir,Cincinnati,París,6370,Boeing 747,False,73336.53600000001,444,388349.45,Mol_CiPa_10747,Jul23
MoldaviAir,París,Cádiz,1447,Airbus A320,False,3958.8473,124,55987.21,Mol_PaCa_11320,Jul23
Airnar,París,Los Angeles,9099,Airbus A320,True,24227.070192,779,357077.77,Air_PaLo_11320,Jul23
Airnar,Bali,Cincinnati,15011,Boeing 737,True,41350.02112800001,1340,553084.95,Air_BaCi_10737,Jul23
TabarAir,Nueva York,Roma,6877,Airbus A320,True,19567.375672,618,271156.32,Tab_NuRo_11320,Jul23
MoldaviAir,Cádiz,Londres,1716,Airbus A320,False,4565.5896,144,68430.36,Mol_CaLo_11320,Jul23
MoldaviAir,Londres,Melbourne,16900,Boeing 747,True,200475.3712,1326,957690.43,Mol_LoMe_10747,Jul23
FlyQ,Ginebra,Bali,12383,Airbus A380,False,150304.854,845,770614.31,Fly_GiBa_11380,Jul23
FlyQ,Ginebra,Nueva York,6206,Airbus A380,False,74611.0144,433,405544.89,Fly_GiNu_11380,Jul23
PamPangea,Londres,Nueva York,5566,Airbus A320,True,14529.4864,523,224950.75,Pam_LoNu_11320,Jul23
FlyQ,Barcelona,Ginebra,660,Boeing 747,False,7035.6,64,37931.63,Fly_BaGi_10747,Jul23
MoldaviAir,Melbourne,Londres,16900,Airbus A380,True,207242.1312,1326,1043110.48,Mol_MeLo_11380,Jul23
TabarAir,Londres,Ginebra,739,Airbus A380,False,8799.1252,69,45962.03,Tab_LoGi_11380,Jul23
TabarAir,Londres,Cincinnati,6284,Airbus A320,True,17716.053888,575,249734.61,Tab_LoCi_11320,Jul23
PamPangea,Londres,Ginebra,739,Airbus A380,False,8628.2684,69,46588.5,Pam_LoGi_11380,Jul23
FlyQ,Cincinnati,Nueva York,911,Boeing 737,False,2390.8284,89,32373.64,Fly_CiNu_10737,Jul23
FlyQ,Bali,Roma,12738,Boeing 737,True,32835.303072,1167,460233.39,Fly_BaRo_10737,Jul23
MoldaviAir,Bali,París,11980,Boeing 747,False,139200.412,818,691970.17,Mol_BaPa_10747,Jul23
PamPangea,Londres,Nueva York,5566,Airbus A380,False,69490.39680000002,391,362411.17,Pam_LoNu_11380,Jul23
FlyQ,Barcelona,Bali,13058,Airbus A380,True,166407.809152,1070,785974.66,Fly_BaBa_11380,Jul23
PamPangea,Bali,Ginebra,12383,Boeing 737,True,31294.3176,1140,456318.97,Pam_BaGi_10737,Jul23
FlyQ,Cincinnati,Nueva York,911,Airbus A380,False,10847.0948,80,59608.88,Fly_CiNu_11380,Jul23
MoldaviAir,Cádiz,Cincinnati,6624,Airbus A380,False,83465.04960000001,461,423590.1,Mol_CaCi_11380,Jul23
MoldaviAir,Bali,Melbourne,2779,Airbus A320,False,7184.548699999999,221,114038.76,Mol_BaMe_11320,Jul23
TabarAir,Ginebra,Los Angeles,9103,Boeing 737,False,22341.4929,711,326487.53,Tab_GiLo_10737,Jul23
FlyQ,Barcelona,Nueva York,6170,Airbus A380,False,76317.964,431,376307.24,Fly_BaNu_11380,Jul23
Airnar,Ginebra,Cincinnati,6969,Boeing 747,False,75032.4354,484,397987.64,Air_GiCi_10747,Jul23
MoldaviAir,Londres,Cádiz,1716,Airbus A320,False,4393.3032,144,64800.77,Mol_LoCa_11320,Jul23
FlyQ,Nueva York,Bali,16589,Boeing 737,True,42762.19521600001,1459,564893.31,Fly_NuBa_10737,Jul23
FlyQ,Barcelona,Bali,13058,Airbus A380,True,171117.464128,1070,816501.29,Fly_BaBa_11380,Jul23
PamPangea,París,Nueva York,5835,Boeing 737,False,15029.793,463,216329.13,Pam_PaNu_10737,Jul23
Airnar,Bali,Los Angeles,12845,Airbus A380,False,148488.2,876,779223.1,Air_BaLo_11380,Jul23
Airnar,Los Angeles,Bali,12845,Boeing 747,True,143828.85608,1056,774509.14,Air_LoBa_10747,Jul23
TabarAir,Cincinnati,Londres,6284,Airbus A320,True,16731.828672,575,249066.44,Tab_CiLo_11320,Jul23
Airnar,Cádiz,Ginebra,1725,Airbus A320,False,4546.2375,145,66866.12,Air_CaGi_11320,Jul23
MoldaviAir,Bali,Londres,12553,Airbus A380,False,152368.314,856,808180.7,Mol_BaLo_11380,Jul23
FlyQ,Nueva York,Barcelona,6170,Boeing 747,False,70376.254,431,370553.62,Fly_NuBa_10747,Jul23
TabarAir,Nueva York,Roma,6877,Boeing 747,False,80639.70200000002,478,417287.11,Tab_NuRo_10747,Jul23
FlyQ,Nueva York,Cincinnati,911,Airbus A380,False,11478.9644,80,56655.43,Fly_NuCi_11380,Jul23
MoldaviAir,Melbourne,París,16925,Airbus A380,True,219757.4496,1328,1022821.78,Mol_MePa_11380,Jul23
PamPangea,París,Nueva York,5835,Boeing 737,False,14604.4215,463,198851.88,Pam_PaNu_10737,Jul23
Airnar,Los Angeles,Bali,12845,Boeing 747,True,150949.09648,1056,774548.69,Air_LoBa_10747,Jul23
PamPangea,Ginebra,Bali,12383,Boeing 747,False,143883.0302,845,724796.13,Pam_GiBa_10747,Jul23
MoldaviAir,Bali,París,11980,Boeing 737,True,30881.37312,1029,442215.73,Mol_BaPa_10737,Jul23
PamPangea,Bali,Ginebra,12383,Boeing 737,True,32546.090304,1140,422606.13,Pam_BaGi_10737,Jul23
FlyQ,Cincinnati,Ginebra,6969,Boeing 737,False,18120.0969,549,237620.83,Fly_CiGi_10737,Jul23
TabarAir,Nueva York,Los Angeles,3944,Boeing 737,False,10446.4728,319,135425.91,Tab_NuLo_10737,Jul23
PamPangea,París,Londres,344,Boeing 747,False,4033.744,42,20155.75,Pam_PaLo_10747,Jul23
Airnar,Cádiz,Cincinnati,6624,Airbus A380,False,77339.1744,461,429287.71,Air_CaCi_11380,Jul23
TabarAir,Ginebra,Los Angeles,9103,Boeing 747,False,98978.7396,626,555467.27,Tab_GiLo_10747,Jul23
TabarAir,Londres,Ginebra,739,Airbus A380,False,8713.6968,69,45420.87,Tab_LoGi_11380,Jul23
TabarAir,Londres,Ginebra,739,Airbus A380,False,8799.1252,69,45873.2,Tab_LoGi_11380,Jul23
PamPangea,París,Ginebra,411,Boeing 747,False,4468.885200000001,47,23810.69,Pam_PaGi_10747,Jul23
Airnar,Ginebra,Cádiz,1725,Boeing 747,False,18756.27,135,106205.33,Air_GiCa_10747,Jul23
MoldaviAir,Cádiz,Londres,1716,Airbus A320,False,4737.876,144,65184.74,Mol_CaLo_11320,Jul23
Airnar,París,Ginebra,411,Boeing 747,False,4731.760800000001,47,23911.79,Air_PaGi_10747,Jul23
TabarAir,Londres,Cincinnati,6284,Boeing 747,False,73016.30960000001,438,355337.04,Tab_LoCi_10747,Jul23
TabarAir,Londres,Roma,1433,Boeing 737,False,3760.7652,128,51828.56,Tab_LoRo_10737,Jul23
Airnar,Cincinnati,Los Angeles,3073,Boeing 747,False,33085.7618,224,186457.32,Air_CiLo_10747,Jul23
TabarAir,Londres,Roma,1433,Airbus A320,False,3884.576399999999,123,55634.9,Tab_LoRo_11320,Jul23
TabarAir,Ginebra,Londres,739,Boeing 737,False,1831.6854,76,25527.08,Tab_GiLo_10737,Jul23
TabarAir,Ginebra,Nueva York,6206,Boeing 737,False,16287.0264,491,220784.71,Tab_GiNu_10737,Jul23
MoldaviAir,Melbourne,Cincinnati,15262,Boeing 747,True,184428.694112,1217,931910.6,Mol_MeCi_10747,Jul23
PamPangea,Melbourne,Londres,16900,Boeing 737,True,43136.7768,1483,623716.03,Pam_MeLo_10737,Jul23
FlyQ,Roma,Cincinnati,7480,Boeing 737,False,18358.164,588,265194.4,Fly_RoCi_10737,Jul23
TabarAir,Cincinnati,Nueva York,911,Airbus A320,False,2515.271,86,36599.54,Tab_CiNu_11320,Jul23
PamPangea,Melbourne,Ginebra,16674,Boeing 747,True,190400.272608,1311,944466.55,Pam_MeGi_10747,Jul23
MoldaviAir,París,Bali,11980,Airbus A380,False,148183.016,818,735048.49,Mol_PaBa_11380,Jul23
PamPangea,Ginebra,París,411,Boeing 737,False,1068.6411,51,14706.69,Pam_GiPa_10737,Jul23
MoldaviAir,París,Londres,344,Airbus A320,False,949.784,44,13911.34,Mol_PaLo_11320,Jul23
Airnar,Cincinnati,Bali,15011,Airbus A380,True,184077.611328,1200,950897.7,Air_CiBa_11380,Jul23
TabarAir,Los Angeles,Ginebra,9103,Boeing 737,False,23005.1016,711,333184.83,Tab_LoGi_10737,Jul23
TabarAir,Ginebra,Nueva York,6206,Boeing 737,False,16136.2206,491,215062.11,Tab_GiNu_10737,Jul23
TabarAir,Londres,Ginebra,739,Airbus A380,False,8628.2684,69,46902.27,Tab_LoGi_11380,Jul23
MoldaviAir,Melbourne,Cincinnati,15262,Boeing 737,True,39341.52892800001,1359,564858.32,Mol_MeCi_10737,Jul23
MoldaviAir,Cádiz,Cincinnati,6624,Airbus A320,True,18674.592768,600,249209.24,Mol_CaCi_11320,Jul23
MoldaviAir,Melbourne,Bali,2779,Boeing 737,False,6888.0294,231,99774.15,Mol_MeBa_10737,Jul23
Airnar,París,Los Angeles,9099,Airbus A320,True,23989.549896,779,364366.8,Air_PaLo_11320,Jul23
Airnar,Cádiz,Bali,12798,Boeing 737,True,34607.12299200001,1171,459269.34,Air_CaBa_10737,Jul23
Airnar,Los Angeles,Bali,12845,Boeing 737,True,33111.12168,1175,470007.19,Air_LoBa_10737,Jul23
Airnar,Cádiz,París,1447,Airbus A380,False,18400.052,116,93638.33,Air_CaPa_11380,Jul23
PamPangea,Nueva York,Londres,5566,Boeing 737,False,14336.9028,442,193391.9,Pam_NuLo_10737,Jul23
Airnar,París,Cincinnati,6370,Boeing 747,False,72657.494,444,377023.74,Air_PaCi_10747,Jul23
TabarAir,Roma,Cincinnati,7480,Boeing 737,False,18903.456,588,276081.27,Tab_RoCi_10737,Jul23
PamPangea,Melbourne,Londres,16900,Boeing 737,True,43136.7768,1483,607333.34,Pam_MeLo_10737,Jul23
Airnar,París,Ginebra,411,Boeing 737,False,1018.7046,51,14766.68,Air_PaGi_10737,Jul23
PamPangea,Londres,Bali,12553,Boeing 747,False,133814.98,856,768497.31,Pam_LoBa_10747,Jul23
TabarAir,Los Angeles,Londres,8785,Airbus A320,True,22932.364,756,348839.25,Tab_LoLo_11320,Jul23
PamPangea,Melbourne,París,16925,Airbus A380,True,217722.6584,1328,1092518.44,Pam_MePa_11380,Jul23
