aircompany,origen,destino,distancia,avion,con_escala,consumo_kg,duracion,ingresos,id_vuelo,mes
Airnar,París,Ginebra,411,Boeing 737,False,1028.6919,51,14232.65,Air_PaGi_10737,Jun23
FlyQ,Bali,Roma,12738,Boeing 737,True,33479.13254400001,1167,468527.19,Fly_BaRo_10737,Jun23
TabarAir,Ginebra,Los Angeles,9103,Airbus A380,False,109439.9072,626,584789.19,Tab_GiLo_11380,Jun23
MoldaviAir,París,Cincinnati,6370,Boeing 737,False,17027.01,503,233342.51,Mol_PaCi_10737,Jun23
TabarAir,Cincinnati,Roma,7480,Boeing 747,False,86115.744,518,438535.07,Tab_CiRo_10747,Jun23
MoldaviAir,Cádiz,Melbourne,20029,Boeing 737,True,53148.15324000001,1721,728045.68,Mol_CaMe_10737,Jun23
MoldaviAir,París,Londres,344,Airbus A320,False,915.2464,44,13805.52,Mol_PaLo_11320,Jun23
PamPangea,París,Melbourne,16925,Airbus A380,True,217722.6584,1328,1056735.47,Pam_PaMe_11380,Jun23
PamPangea,Nueva York,Bali,16589,Boeing 737,True,45277.61846400001,1459,600836.96,Pam_NuBa_10737,Jun23
Airnar,Ginebra,Cádiz,1725,Airbus A380,False,20339.82,135,110108.07,Air_GiCa_11380,Jun23
TabarAir,Los Angeles,Cincinnati,3073,Boeing 737,False,7915.433400000001,253,111056.67,Tab_LoCi_10737,Jun23
MoldaviAir,Londres,Bali,12553,Airbus A380,False,156721.6944,856,764998.83,Mol_LoBa_11380,Jun23
TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,False,32758.18,224,184079.01,Tab_CiLo_10747,Jun23
TabarAir,Ginebra,Londres,739,Airbus A380,False,8542.84,69,46200.3,Tab_GiLo_11380,Jun23
TabarAir,Cincinnati,Roma,7480,Airbus A320,True,21087.85536,662,299451.12,Tab_CiRo_11320,Jun23
TabarAir,Roma,Los Angeles,10077,Boeing 747,False,109569.2364,691,619222.23,Tab_RoLo_10747,Jun23
MoldaviAir,Melbourne,Cádiz,20029,Boeing 737,True,51629.634576,1721,719577.55,Mol_MeCa_10737,Jun23
Airnar,Ginebra,Los Angeles,9103,Boeing 747,False,104801.0184,626,518685.45,Air_GiLo_10747,Jun23
PamPangea,Melbourne,París,16925,Boeing 737,True,46622.41740000001,1485,584677.98,Pam_MePa_10737,Jun23
PamPangea,Ginebra,Nueva York,6206,Airbus A320,True,16200.1424,569,245091.83,Pam_GiNu_11320,Jun23
MoldaviAir,Cádiz,Bali,12798,Boeing 747,True,156072.12192,1053,761363.24,Mol_CaBa_10747,Jun23
Airnar,Bali,Ginebra,12383,Airbus A380,False,146010.4296,845,799063.9,Air_BaGi_11380,Jun23
MoldaviAir,Londres,Bali,12553,Boeing 737,True,33310.13868,1153,458825.79,Mol_LoBa_10737,Jun23
Airnar,Bali,Cádiz,12798,Boeing 737,True,35577.41616000001,1171,432558.22,Air_BaCa_10737,Jun23
TabarAir,Londres,Roma,1433,Boeing 747,False,16803.358,115,84592.95,Tab_LoRo_10747,Jun23
TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,False,33740.9254,224,174029.84,Tab_CiLo_10747,Jun23
PamPangea,Melbourne,Bali,2779,Boeing 737,False,7158.148200000001,231,94840.33,Pam_MeBa_10737,Jun23
Airnar,Bali,Cincinnati,15011,Boeing 737,True,39073.873176,1340,515892.83,Air_BaCi_10737,Jun23
MoldaviAir,Londres,París,344,Boeing 747,False,3813.7216,42,19403.07,Mol_LoPa_10747,Jun23
TabarAir,Ginebra,Roma,698,Airbus A320,False,1751.98,70,27807.76,Tab_GiRo_11320,Jun23
MoldaviAir,Cádiz,Bali,12798,Boeing 737,True,33960.26088000001,1171,459544.98,Mol_CaBa_10737,Jun23
