Country,GDP per capita (USD),Life satisfaction,Life expectancy,Homicide rate,Employment rate
Russia,26456.3879381321,5.8,71.8,9.6,70.0
Greece,27287.0834009302,5.4,81.5,0.8,53.0
Turkey,28384.9877846263,5.5,78.0,1.4,52.0
Latvia,29932.4939100562,5.9,74.7,4.8,70.0
Hungary,31007.7684065437,5.6,76.2,1.0,68.0
Portugal,32181.1545372343,5.4,81.2,1.0,68.0
Poland,32238.157259275,6.1,78.0,0.7,66.0
Estonia,35638.4213511812,5.7,77.8,3.1,74.0
Spain,36215.4475907307,6.3,83.4,0.6,62.0
Slovenia,36547.7389559849,5.9,81.3,0.6,69.0
Lithuania,36732.034744031,5.9,74.8,3.4,70.0
Israel,38341.3075704083,7.2,82.5,1.8,69.0
Italy,38992.1483807498,6.0,83.3,0.6,58.0
United Kingdom,41627.129269425,6.8,81.2,0.2,75.0
France,42025.6173730617,6.5,82.4,0.5,65.0
New Zealand,42404.3937381567,7.3,81.7,1.3,77.0
Canada,45856.6256264804,7.4,81.9,1.3,73.0
Finland,47260.800458441,7.6,81.5,1.3,70.0
Belgium,48210.0331113444,6.9,81.5,1.0,63.0
Australia,48697.8370282475,7.3,82.5,1.1,73.0
Sweden,50683.3235097178,7.3,82.4,0.9,77.0
Germany,50922.3580234484,7.0,81.1,0.5,75.0
Austria,51935.6038618156,7.1,81.7,0.5,72.0
Iceland,52279.7288513646,7.5,82.3,0.5,86.0
Netherlands,54209.5638357302,7.4,81.6,0.6,76.0
Denmark,55938.2128086032,7.6,80.9,0.6,74.0
United States,60235.7284916969,6.9,78.6,5.5,70.0
