Country,GDP per capita (USD),Life satisfaction,Life expectancy,Homicide rate,Employment rate
South Africa,11466.189671582,4.72533616435089,57.5,13.7,43.0
Colombia,13441.4929522564,6.302556030917584,76.2,24.5,67.0
Brazil,14063.9825053838,6.415187019907136,74.8,26.7,61.0
Mexico,17887.7507356971,6.536861421995002,75.4,18.1,61.0
Chile,23324.5247506509,6.53814268762398,79.9,4.2,63.0
Russia,26456.3879381321,5.83209638916504,71.8,9.6,70.0
Greece,27287.0834009302,5.433212000107679,81.5,0.8,53.0
Turkey,28384.9877846263,5.530069757999325,78.0,1.4,52.0
Latvia,29932.4939100562,5.918116267781104,74.7,4.8,70.0
Hungary,31007.7684065437,5.633223395337244,76.2,1.0,68.0
Portugal,32181.1545372343,5.404809875318355,81.2,1.0,68.0
Poland,32238.157259275,6.116774595052711,78.0,0.7,66.0
Estonia,35638.4213511812,5.708354501117828,77.8,3.1,74.0
Spain,36215.4475907307,6.301969056778025,83.4,0.6,62.0
Slovenia,36547.7389559849,5.93055250829228,81.3,0.6,69.0
Lithuania,36732.034744031,5.929214388248396,74.8,3.4,70.0
Israel,38341.3075704083,7.249179208532177,82.5,1.8,69.0
Italy,38992.1483807498,6.013912022796543,83.3,0.6,58.0
United Kingdom,41627.129269425,6.847227852439712,81.2,0.2,75.0
France,42025.6173730617,6.510114646470334,82.4,0.5,65.0
New Zealand,42404.3937381567,7.3372597861069755,81.7,1.3,77.0
Canada,45856.6256264804,7.428954969450741,81.9,1.3,73.0
Finland,47260.800458441,7.600345648540023,81.5,1.3,70.0
Belgium,48210.0331113444,6.942026738272408,81.5,1.0,63.0
Australia,48697.8370282475,7.346316644575849,82.5,1.1,73.0
Sweden,50683.3235097178,7.3030626557263565,82.4,0.9,77.0
Germany,50922.3580234484,7.021221218446696,81.1,0.5,75.0
Austria,51935.6038618156,7.105112172245714,81.7,0.5,72.0
Iceland,52279.7288513646,7.546344007228781,82.3,0.5,86.0
Netherlands,54209.5638357302,7.439487855862256,81.6,0.6,76.0
Denmark,55938.2128086032,7.638181666136792,80.9,0.6,74.0
United States,60235.7284916969,6.91937515123549,78.6,5.5,70.0
Norway,63585.9035142969,7.614393852389334,82.5,0.4,74.0
Switzerland,68393.306003945,7.507559829099799,83.7,0.6,80.0
Ireland,89688.9569584859,7.0039318816117335,81.8,0.7,67.0
Luxembourg,110261.157353302,6.948686601008694,82.8,0.6,66.0
