iter	Logloss
0	0.6746932562
1	0.663207247
2	0.6537752446
3	0.6409276073
4	0.6299336391
5	0.6179410515
6	0.6112757595
7	0.6053971957
8	0.5956287136
9	0.5876545253
10	0.5812919325
11	0.5745425959
12	0.5694016404
13	0.5639517785
14	0.5582409724
15	0.5539555691
16	0.5487969418
17	0.5443593223
18	0.5440194814
19	0.5410585312
20	0.5368703911
21	0.5335398918
22	0.5311261186
23	0.5277875419
24	0.5253600666
25	0.5227697433
26	0.5208020894
27	0.5172141861
28	0.5155621616
29	0.5132221979
30	0.5122644545
31	0.5117099161
32	0.5106918533
33	0.5090078984
34	0.5067033149
35	0.5059840553
36	0.5041456472
37	0.5015863799
38	0.5003393036
39	0.4997646943
40	0.4987214856
41	0.4969984201
42	0.4957137276
43	0.4945688831
44	0.4927583452
45	0.4920370933
46	0.4912934614
47	0.4903765804
48	0.489002997
49	0.4879502637
50	0.4864476374
51	0.4860669026
52	0.4839832032
53	0.4837397438
54	0.4826895755
55	0.4817313069
56	0.4808759398
57	0.4798418814
58	0.4789545212
59	0.4785067807
60	0.4779130647
61	0.4764912951
62	0.474888373
63	0.4744272247
64	0.4735794851
65	0.4723297551
66	0.4715068299
67	0.4703202417
68	0.4692766676
69	0.4682845118
70	0.4679118128
71	0.4669999626
72	0.4661028616
73	0.4653793417
74	0.4643130668
75	0.4634271947
76	0.4625738539
77	0.4622445974
78	0.461783227
79	0.4610666204
80	0.4603798529
81	0.4598245412
82	0.4590142805
83	0.4584771044
84	0.4578297697
85	0.457068697
86	0.4562122356
87	0.4559108313
88	0.4550706852
89	0.4544315272
90	0.4541470709
91	0.4539025341
92	0.4533196672
93	0.4527591664
94	0.4524724948
95	0.4522362185
96	0.4515944323
97	0.451387291
98	0.45077359
99	0.4500704139
100	0.4495871061
101	0.4490772333
102	0.4488685705
103	0.4483426187
104	0.4478356577
105	0.4471819993
106	0.4467739257
107	0.4463898818
108	0.4456543676
109	0.4451919122
110	0.4447343986
111	0.4441390744
112	0.4439498678
113	0.4435694476
114	0.4431548016
115	0.4427313687
116	0.4425581685
117	0.4419458747
118	0.4416055897
119	0.4412374202
120	0.4407243828
121	0.4401810368
122	0.4397628334
123	0.4394713343
124	0.4386824926
125	0.4382728791
126	0.4378615318
127	0.4374686384
128	0.4370791668
129	0.4366636628
130	0.4363119886
131	0.4361370657
132	0.4357977943
133	0.4354695686
134	0.435104015
135	0.4349612246
136	0.4346168127
137	0.4340884704
138	0.4335351479
139	0.4332408492
140	0.4327871576
141	0.4324790582
142	0.4321606683
143	0.431813565
144	0.431515418
145	0.4312280514
146	0.4308415432
147	0.4305539273
148	0.4301347984
149	0.4296530042
150	0.4293538662
151	0.4290105291
152	0.4287538462
153	0.4284075334
154	0.4282420267
155	0.4277507952
156	0.4274325444
157	0.4271941678
158	0.4269318013
159	0.4265745842
160	0.4261780471
161	0.4258909155
162	0.4256015746
163	0.4253009511
164	0.4250295131
165	0.4246490572
166	0.4244414323
167	0.4241965059
168	0.4238749769
169	0.4234577555
170	0.4231683766
171	0.4228602249
172	0.4226123291
173	0.4222968588
174	0.4220317084
175	0.4217543647
176	0.4215666994
177	0.4210684888
178	0.4208613293
179	0.4206226148
180	0.4203221428
181	0.4200649342
182	0.4198110047
183	0.4195856958
184	0.4193302815
185	0.4190654699
186	0.4188292108
187	0.4185914094
188	0.4183337927
189	0.418104805
190	0.4177681691
191	0.4176031797
192	0.4173959514
193	0.4170949653
194	0.4168338096
195	0.4165542714
196	0.4163952277
197	0.4161589573
198	0.4159241154
199	0.415504055
