iter	Passed	Remaining
0	1	320
1	2	255
2	3	230
3	4	217
4	5	205
5	6	198
6	7	195
7	7	189
8	8	185
9	9	180
10	10	177
11	11	174
12	11	171
13	12	169
14	13	167
15	14	166
16	15	165
17	16	162
18	16	161
19	17	159
20	18	158
21	19	157
22	20	155
23	21	154
24	21	153
25	22	152
26	23	151
27	24	150
28	25	149
29	26	148
30	26	146
31	27	145
32	28	144
33	29	143
34	30	142
35	30	140
36	31	139
37	32	138
38	33	137
39	34	136
40	35	135
41	35	134
42	36	133
43	37	132
44	38	131
45	39	130
46	39	130
47	40	129
48	41	128
49	42	127
50	43	126
51	44	125
52	44	124
53	45	123
54	46	122
55	47	121
56	48	120
57	49	120
58	49	119
59	50	118
60	51	117
61	52	116
62	53	116
63	54	115
64	55	114
65	56	113
66	56	112
67	57	112
68	58	111
69	59	110
70	60	109
71	61	108
72	61	107
73	62	106
74	63	106
75	64	105
76	65	104
77	66	103
78	67	103
79	68	102
80	69	101
81	69	100
82	70	99
83	71	98
84	72	98
85	73	97
86	74	96
87	75	95
88	75	94
89	76	93
90	77	93
91	78	92
92	79	91
93	80	90
94	81	90
95	82	89
96	83	88
97	84	88
98	86	87
99	87	87
100	88	86
101	89	85
102	90	84
103	91	84
104	91	83
105	92	82
106	93	81
107	94	80
108	95	79
109	96	78
110	97	77
111	97	76
112	98	76
113	99	75
114	100	74
115	101	73
116	102	72
117	103	72
118	104	71
119	105	70
120	106	69
121	107	68
122	107	67
123	108	66
124	109	65
125	110	64
126	111	63
127	112	63
128	113	62
129	113	61
130	114	60
131	115	59
132	116	58
133	117	57
134	118	56
135	119	56
136	120	55
137	120	54
138	121	53
139	122	52
140	123	51
141	124	50
142	125	49
143	125	48
144	126	48
145	127	47
146	128	46
147	129	45
148	130	44
149	130	43
150	131	42
151	132	41
152	133	41
153	134	40
154	135	39
155	136	38
156	137	37
157	137	36
158	138	35
159	139	34
160	140	34
161	141	33
162	142	32
163	143	31
164	144	30
165	145	29
166	146	28
167	146	27
168	147	27
169	148	26
170	149	25
171	150	24
172	151	23
173	151	22
174	152	21
175	153	20
176	154	20
177	155	19
178	155	18
179	156	17
180	157	16
181	158	15
182	159	14
183	160	13
184	160	13
185	161	12
186	162	11
187	163	10
188	164	9
189	165	8
190	165	7
191	166	6
192	167	6
193	168	5
194	169	4
195	170	3
196	170	2
197	171	1
198	172	0
199	173	0
