iter	MultiClass
0	1.469541429
1	1.361997271
2	1.278951615
3	1.214951826
4	1.155906315
5	1.106082352
6	1.067691694
7	1.034137648
8	1.005793491
9	0.9805620636
10	0.9590209746
11	0.9383567338
12	0.9189520147
13	0.9031318445
14	0.8881778924
15	0.875928602
16	0.8639861235
17	0.8531734764
18	0.8449143019
19	0.834538875
20	0.8281214189
21	0.8216914618
22	0.8131136092
23	0.8068924709
24	0.8006650087
25	0.7944947519
26	0.7887679318
27	0.7838264643
28	0.7808856766
29	0.7786135135
30	0.7756301525
31	0.7735032568
32	0.7698723649
33	0.7662476719
34	0.7641399739
35	0.7625876292
36	0.7599966515
37	0.7575139062
38	0.7551088075
39	0.753381794
40	0.752241563
41	0.7503388124
42	0.7496279795
43	0.7480722317
44	0.7458692553
45	0.7431904896
46	0.7415307649
47	0.7388577082
48	0.7370320562
49	0.7349862093
50	0.7339468585
51	0.7320807363
52	0.7297236588
53	0.7282358107
54	0.7269305265
55	0.7256724043
56	0.7248624498
57	0.7236505761
58	0.7213762893
59	0.7203667886
60	0.719367353
61	0.7180782088
62	0.7166818591
63	0.7158987113
64	0.7152362176
65	0.7147320968
66	0.7136068256
67	0.7126910304
68	0.7122805189
69	0.7113547123
70	0.7104156168
71	0.7092084706
72	0.7074017769
73	0.7065537123
74	0.7057642205
75	0.7048452194
76	0.7036098982
77	0.7029396989
78	0.7023620909
79	0.7019493181
80	0.7013218287
81	0.7003277412
82	0.6996408486
83	0.6988513386
84	0.698309939
85	0.6974057137
86	0.696159219
87	0.6950221728
88	0.6945474564
89	0.6936790338
90	0.6925594268
91	0.6913600176
92	0.6907807362
93	0.6901094766
94	0.6892293429
95	0.6884303365
96	0.6879093063
97	0.6870845162
98	0.686478973
99	0.6853883327
100	0.6841238204
101	0.6838201998
102	0.6830158631
103	0.6822656084
104	0.6816965851
105	0.6810840049
106	0.6808821669
107	0.6799473867
108	0.6790223079
109	0.6785601153
110	0.6778220895
111	0.6772800567
112	0.6763415168
113	0.67567686
114	0.674971876
115	0.6737322491
116	0.6733310761
117	0.6728649595
118	0.6724634325
119	0.6717640786
120	0.6712557981
121	0.6704737153
122	0.6697488909
123	0.6692014679
124	0.6686732077
125	0.6680660302
126	0.6678134918
127	0.6671086033
128	0.6661253385
129	0.6652859592
130	0.6646687171
131	0.6643509778
132	0.6636545862
133	0.6631630971
134	0.6625977409
135	0.6620254123
136	0.6617487554
137	0.6610148044
138	0.6604416596
139	0.6598126115
140	0.6593519753
141	0.6588646894
142	0.6582773741
143	0.6577369227
144	0.6572472497
145	0.6569088509
146	0.6563824579
147	0.6561348391
148	0.6556068795
149	0.6553125527
150	0.6544379661
151	0.6534562378
152	0.6532549194
153	0.6524345108
154	0.6517530773
155	0.6512788378
156	0.6508967039
157	0.6502219917
158	0.6497526116
159	0.6485507205
160	0.6481146612
161	0.6474472536
162	0.6470335444
163	0.6466308247
164	0.64622851
165	0.6455553285
166	0.6448746664
167	0.6446750169
168	0.6444881525
169	0.6438545804
170	0.6432095793
171	0.6428123501
172	0.6420064075
173	0.641338723
174	0.6409612706
175	0.6406410521
176	0.6399701884
177	0.6394545295
178	0.6390176505
179	0.6387130221
180	0.6383032066
181	0.6375167954
182	0.6369008601
183	0.6362053034
184	0.6357928719
185	0.6355377958
186	0.6349202919
187	0.6344139021
188	0.6341701688
189	0.6337833845
190	0.6334490558
191	0.6331854714
192	0.6327487049
193	0.6323730951
194	0.6319557534
195	0.6312714375
196	0.6310563624
197	0.630818645
198	0.6299527141
199	0.6290715591
200	0.6286731557
201	0.6284216691
202	0.6279690987
203	0.6271918416
204	0.626797052
205	0.6258465945
206	0.6256003082
207	0.6249771974
208	0.6247595212
209	0.6242599302
210	0.6240616316
211	0.6236729149
212	0.6228102038
213	0.6222270247
214	0.6216712538
215	0.6207802029
216	0.6203650056
217	0.6197360229
218	0.6193533729
219	0.6189085618
220	0.6183754025
221	0.6178689624
222	0.617220942
223	0.6162362264
224	0.6158880816
225	0.6156276382
226	0.6151048008
227	0.6148345109
228	0.6146143815
229	0.6141091417
230	0.6137996037
231	0.6134240427
232	0.612916912
233	0.6125654389
234	0.6123101867
235	0.6119976302
236	0.6117166188
237	0.6114785316
238	0.6110696364
239	0.6104542993
240	0.6102788695
241	0.6099799173
242	0.6093843222
243	0.6091947448
244	0.6084361187
245	0.6080884061
246	0.6079169039
247	0.607295044
248	0.6071596474
249	0.6064787215
250	0.6057811212
251	0.6055243735
252	0.6053692331
253	0.6047487154
254	0.6041977859
255	0.6038626315
256	0.6036162956
257	0.60312885
258	0.6024628658
259	0.6022215122
260	0.6015266946
261	0.6013126172
262	0.6011136111
263	0.6007021258
264	0.6005289917
265	0.6001481696
266	0.5996763769
267	0.5992468099
268	0.5986218675
269	0.5981772416
270	0.5978109628
271	0.597364309
272	0.5971580653
273	0.5965473864
274	0.5962754777
275	0.5959408858
276	0.5955447574
277	0.5953772956
278	0.5947942909
279	0.5944396448
280	0.5941678888
281	0.5936757938
282	0.5931515976
283	0.5929438637
284	0.5923177139
285	0.5921535202
286	0.592030011
287	0.5918220118
288	0.5912698478
289	0.5911994072
290	0.5908353695
291	0.5906405373
292	0.5903277603
293	0.5901642344
294	0.5896464026
295	0.5891209072
296	0.5887551888
297	0.5884707558
298	0.5883199452
299	0.587861955
300	0.587475993
301	0.5870361733
302	0.5865545036
303	0.5863904726
304	0.5859099325
305	0.5857167648
306	0.5855736438
307	0.5850205073
308	0.5847492741
309	0.5843753034
310	0.5837479151
311	0.5836394064
312	0.5833371638
313	0.5830749688
314	0.5826399289
315	0.5824649329
316	0.5820768487
317	0.5819283379
318	0.5816714797
319	0.5815586218
320	0.5812631742
321	0.5810644111
322	0.5805183435
323	0.5800124116
324	0.5797571728
325	0.5790906445
326	0.5789336591
327	0.5785932784
328	0.5784653543
329	0.5781476639
330	0.5779086668
331	0.5775469325
332	0.5772304489
333	0.5769064638
334	0.5765429516
335	0.5763895829
336	0.5761856172
337	0.5759032386
338	0.5755105301
339	0.5751972877
340	0.5750290865
341	0.5748570469
342	0.5747154629
343	0.5744007474
344	0.5738223448
345	0.5735740809
346	0.5733309829
347	0.5729445184
348	0.5726907513
349	0.5723000956
350	0.5717510427
351	0.5715176447
352	0.5712701266
353	0.5708833639
354	0.5703968487
355	0.5700858369
356	0.5699296357
357	0.5694447761
358	0.5692220484
359	0.5688725762
360	0.5687765749
361	0.5685676752
362	0.5682056009
363	0.5678891211
364	0.5674561499
365	0.5671024328
366	0.566841416
367	0.5664226433
368	0.5661105827
369	0.5659359259
370	0.5656356369
371	0.5654533563
372	0.5651458083
373	0.5648438893
374	0.5645587175
375	0.5642464975
376	0.5639900204
377	0.5636789956
378	0.5635001889
379	0.5633594252
380	0.5631695662
381	0.5628799603
382	0.5627471077
383	0.5623325925
384	0.5621217778
385	0.5617638322
386	0.5616937399
387	0.5613573749
388	0.5611648043
389	0.5609846418
390	0.5607710343
391	0.5603888244
392	0.5602641088
393	0.5600925964
394	0.5596865569
395	0.5593827847
396	0.5590326963
397	0.5586941288
398	0.558329778
399	0.5581565986
400	0.5579216475
401	0.5578444561
402	0.5573460029
403	0.5572092413
404	0.5567767243
405	0.5564600494
406	0.5562123873
407	0.5561256675
408	0.5557773901
409	0.5554955911
410	0.555375747
411	0.5550362931
412	0.5549737999
413	0.554684788
414	0.5545512801
415	0.5543895884
416	0.5541963203
417	0.5540046648
418	0.553906129
419	0.5537155717
420	0.5535078402
421	0.5533158734
422	0.5532118749
423	0.5529869863
424	0.5526762555
425	0.5523264687
426	0.5519087187
427	0.5517664799
428	0.5516103361
429	0.5512728422
430	0.5507341702
431	0.5505802528
432	0.550459307
433	0.5501721527
434	0.5496837541
435	0.5494231756
436	0.5493128771
437	0.5491664058
438	0.5487691377
439	0.5484032985
440	0.5481053521
441	0.5478868616
442	0.5474977208
443	0.5471958363
444	0.5471322392
445	0.5470171127
446	0.5468778578
447	0.5465812362
448	0.5464925223
449	0.5461673879
450	0.5459357071
451	0.5457260798
452	0.5455836932
453	0.545293905
454	0.5451866359
455	0.5449729576
456	0.544869213
457	0.5447028301
458	0.5446445743
459	0.5445146057
460	0.5441985833
461	0.5439536643
462	0.5437982657
463	0.5435160221
464	0.5433092195
465	0.5432375696
466	0.5431599342
467	0.5428796768
468	0.5426212899
469	0.5423360889
470	0.5420862888
471	0.5419498555
472	0.5417681418
473	0.5416998663
474	0.5415591088
475	0.5414493722
476	0.5411136925
477	0.541051324
478	0.5409574526
479	0.5408434425
480	0.5404402799
481	0.5402654211
482	0.5401514335
483	0.5397465891
484	0.5396203213
485	0.5394870093
486	0.5392169725
487	0.5389511241
488	0.5388541269
489	0.5385955236
490	0.5383580434
491	0.5380927391
492	0.5378722952
493	0.5376200324
494	0.5374013525
495	0.5372492806
496	0.537039908
497	0.5368820238
498	0.5367303442
499	0.5363050124
500	0.5361033542
501	0.5359390443
502	0.5356447233
503	0.5354680254
504	0.5353886737
505	0.5353424607
506	0.5351044537
507	0.5349247944
508	0.5348189085
509	0.5345672683
510	0.5342639361
511	0.5340841656
512	0.5339869818
513	0.5338902663
514	0.533720651
515	0.53358555
516	0.5334463634
517	0.5332929563
518	0.5328652276
519	0.5326155054
520	0.5324160582
521	0.5322661568
522	0.5321380758
523	0.5318868377
524	0.5317052051
525	0.5314362421
526	0.531355626
527	0.5312474971
528	0.5310791144
529	0.5308870713
530	0.5304020014
531	0.5300750361
532	0.5298591682
533	0.5296730097
534	0.5295998971
535	0.5294225626
536	0.5291797184
537	0.5289885565
538	0.5286238082
539	0.5283908616
540	0.5281897896
541	0.5279509592
542	0.5278186099
543	0.5276053832
544	0.5275294471
545	0.5273052362
546	0.5271519066
547	0.5270503506
548	0.5269017815
549	0.5266413034
550	0.5265053653
551	0.5263362389
552	0.526070377
553	0.525902022
554	0.525720357
555	0.5256376056
556	0.5253945603
557	0.5251147179
558	0.5248652914
559	0.5245041265
560	0.524378447
561	0.5242549826
562	0.5238771885
563	0.5238087607
564	0.5235907132
565	0.5233285217
566	0.5231732831
567	0.5228444029
568	0.522561359
569	0.5221907537
570	0.5220816773
571	0.5216493401
572	0.5214745087
573	0.5213723997
574	0.5210840217
575	0.5209532478
576	0.5207756578
577	0.5206094776
578	0.5204821511
579	0.5199058238
580	0.5195336486
581	0.5192808845
582	0.5188609766
583	0.5187332163
584	0.5185878492
585	0.5184700141
586	0.5182779433
587	0.5182165737
588	0.517900838
589	0.5176874632
590	0.5176162548
591	0.5175558564
592	0.5173121315
593	0.5171645802
594	0.5170096169
595	0.516868032
596	0.5166170935
597	0.5164252772
598	0.5162556019
599	0.5161598946
600	0.5159020207
601	0.5157728439
602	0.5156222307
603	0.5154129273
604	0.515140258
605	0.5150624226
606	0.5148783772
607	0.5146197311
608	0.5145149691
609	0.5142573479
610	0.5140348933
611	0.5138285859
612	0.5136573971
613	0.5135502987
614	0.5135055317
615	0.5133598489
616	0.5131483958
617	0.5129981446
618	0.5126958391
619	0.5122474879
620	0.5119633182
621	0.5117339784
622	0.5115882246
623	0.5114964976
