iter	Passed	Remaining
0	6	6167
1	10	5395
2	15	5016
3	19	4889
4	24	4888
5	28	4770
6	33	4701
7	37	4698
8	42	4653
9	46	4590
10	50	4533
11	54	4508
12	59	4482
13	63	4443
14	67	4422
15	72	4447
16	76	4408
17	80	4381
18	84	4348
19	88	4336
20	92	4306
21	96	4294
22	100	4275
23	105	4271
24	109	4256
25	112	4232
26	117	4225
27	121	4226
28	125	4211
29	129	4196
30	133	4177
31	137	4174
32	141	4160
33	146	4154
34	149	4133
35	154	4129
36	158	4129
37	163	4127
38	167	4117
39	171	4117
40	175	4103
41	179	4101
42	183	4094
43	188	4095
44	192	4089
45	197	4086
46	200	4073
47	205	4082
48	210	4080
49	214	4076
50	218	4073
51	223	4067
52	227	4062
53	231	4059
54	236	4056
55	240	4052
56	244	4049
57	248	4043
58	253	4037
59	257	4033
60	261	4030
61	265	4023
62	270	4016
63	274	4009
64	278	4003
65	282	3998
66	286	3996
67	291	3993
68	295	3985
69	299	3981
70	304	3988
71	309	3982
72	313	3984
73	318	3984
74	323	3983
75	327	3976
76	331	3974
77	335	3970
78	339	3962
79	344	3957
80	348	3956
81	352	3949
82	356	3942
83	360	3935
84	364	3927
85	369	3923
86	373	3923
87	377	3915
88	382	3910
89	386	3909
90	391	3906
91	395	3901
92	399	3897
93	404	3896
94	408	3893
95	412	3887
96	417	3882
97	421	3877
98	425	3874
99	430	3871
100	434	3868
101	439	3866
102	443	3862
103	448	3860
104	452	3855
105	456	3850
106	460	3846
107	465	3842
108	469	3841
109	474	3835
110	478	3833
111	482	3826
112	486	3821
113	490	3815
114	495	3812
115	499	3809
116	504	3806
117	508	3801
118	512	3795
119	517	3791
120	521	3786
121	525	3780
122	529	3775
123	533	3770
124	537	3765
125	542	3759
126	546	3753
127	550	3748
128	554	3743
129	558	3740
130	563	3735
131	567	3730
132	571	3725
133	575	3721
134	579	3713
135	583	3708
136	587	3701
137	591	3697
138	595	3690
139	600	3688
140	604	3685
141	608	3679
142	613	3675
143	617	3671
144	621	3665
145	625	3660
146	629	3655
147	634	3650
148	638	3644
149	642	3639
150	646	3634
151	650	3630
152	654	3625
153	659	3621
154	663	3618
155	668	3615
156	672	3609
157	676	3605
158	681	3603
159	685	3599
160	689	3593
161	693	3589
162	698	3586
163	703	3584
164	707	3581
165	711	3575
166	715	3570
167	719	3564
168	723	3559
169	728	3555
170	732	3552
171	736	3546
172	741	3542
173	745	3538
174	749	3534
175	753	3528
176	758	3525
177	762	3519
178	766	3514
179	770	3510
180	774	3504
181	778	3501
182	783	3497
183	787	3492
184	791	3487
185	795	3482
186	800	3482
187	805	3479
188	809	3473
189	813	3469
190	817	3463
191	821	3458
192	826	3454
193	830	3450
194	834	3445
195	839	3442
196	843	3436
197	847	3431
198	851	3426
199	856	3424
200	860	3419
201	864	3413
202	868	3408
203	872	3405
204	876	3399
205	881	3396
206	884	3390
207	889	3385
208	893	3380
209	897	3377
210	901	3372
211	906	3368
212	910	3364
213	914	3359
214	919	3356
215	923	3352
216	927	3347
217	932	3343
218	936	3338
219	940	3335
220	945	3331
221	949	3328
222	953	3323
223	958	3321
224	963	3317
225	967	3313
226	972	3311
227	977	3309
228	982	3306
229	986	3301
230	990	3297
231	994	3292
232	998	3288
233	1003	3284
234	1007	3279
235	1011	3274
236	1016	3271
237	1020	3266
238	1024	3262
239	1028	3258
240	1032	3253
241	1036	3247
242	1041	3244
243	1045	3239
244	1049	3235
245	1054	3230
246	1058	3225
247	1062	3221
248	1066	3216
249	1070	3212
250	1075	3208
251	1079	3203
252	1083	3198
253	1088	3195
254	1092	3191
255	1096	3187
256	1100	3182
257	1104	3177
258	1109	3173
259	1113	3170
260	1118	3166
261	1122	3162
262	1155	3239
263	1166	3251
264	1171	3248
265	1176	3245
266	1181	3242
267	1185	3239
268	1190	3235
269	1195	3231
270	1199	3226
271	1203	3221
272	1208	3217
273	1213	3214
274	1219	3214
275	1224	3211
276	1229	3209
277	1234	3207
278	1239	3203
279	1244	3200
280	1248	3195
281	1253	3190
282	1257	3185
283	1262	3181
284	1266	3177
285	1270	3172
286	1274	3166
287	1278	3161
288	1282	3156
289	1286	3150
290	1291	3145
291	1295	3140
292	1299	3135
293	1303	3130
294	1307	3125
295	1313	3123
296	1317	3118
297	1322	3115
298	1326	3110
299	1331	3107
300	1336	3103
301	1340	3097
302	1344	3093
303	1348	3088
304	1353	3083
305	1357	3077
306	1361	3072
307	1365	3068
308	1369	3063
309	1373	3057
310	1378	3054
311	1382	3049
312	1387	3044
313	1391	3039
314	1395	3035
315	1399	3030
316	1403	3024
317	1407	3019
318	1412	3016
319	1416	3010
320	1421	3006
321	1425	3002
322	1431	2999
323	1435	2995
324	1440	2991
325	1445	2988
326	1449	2983
327	1453	2978
328	1457	2973
329	1462	2969
330	1466	2964
331	1470	2958
332	1474	2954
333	1479	2949
334	1483	2944
335	1487	2939
336	1491	2934
337	1495	2929
338	1500	2925
339	1504	2920
340	1509	2917
341	1514	2913
342	1518	2908
343	1522	2903
344	1527	2899
345	1531	2894
346	1536	2890
347	1540	2885
348	1544	2881
349	1549	2876
350	1553	2872
351	1557	2867
352	1562	2863
353	1566	2857
354	1570	2853
355	1575	2849
356	1579	2844
357	1583	2840
358	1588	2835
359	1592	2830
360	1596	2825
361	1600	2821
362	1604	2816
363	1609	2812
364	1614	2809
365	1618	2804
366	1622	2799
367	1627	2795
368	1631	2790
369	1635	2785
370	1639	2780
371	1644	2775
372	1648	2771
373	1653	2766
374	1657	2762
375	1661	2757
376	1665	2753
377	1670	2748
378	1674	2744
379	1678	2739
380	1683	2734
381	1687	2730
382	1692	2725
383	1696	2721
384	1700	2716
385	1704	2711
386	1708	2706
387	1713	2702
388	1717	2698
389	1721	2693
390	1726	2688
391	1730	2684
392	1734	2679
393	1738	2674
394	1743	2670
395	1748	2666
396	1752	2662
397	1756	2657
398	1761	2653
399	1765	2648
400	1769	2643
401	1773	2638
402	1778	2634
403	1782	2629
404	1786	2625
405	1791	2621
406	1795	2616
407	1799	2611
408	1804	2606
409	1808	2602
410	1813	2598
411	1817	2594
412	1821	2588
413	1826	2584
414	1830	2579
415	1834	2574
416	1838	2570
417	1842	2566
418	1847	2561
419	1851	2556
420	1855	2551
421	1859	2547
422	1863	2542
423	1868	2537
424	1872	2533
425	1876	2528
426	1880	2523
427	1885	2519
428	1889	2515
429	1893	2510
430	1898	2506
431	1902	2501
432	1906	2496
433	1910	2492
434	1915	2488
435	1919	2483
436	1924	2479
437	1928	2474
438	1933	2470
439	1937	2465
440	1941	2461
441	1946	2456
442	1950	2452
443	1954	2448
444	1959	2443
445	1963	2439
446	1967	2434
447	1971	2429
448	1976	2424
449	1980	2420
450	1984	2415
451	1988	2410
452	1992	2406
453	1997	2402
454	2001	2397
455	2006	2393
456	2010	2389
457	2014	2384
458	2018	2379
459	2023	2374
460	2027	2370
461	2031	2366
462	2035	2361
463	2040	2357
464	2044	2352
465	2048	2347
466	2052	2342
467	2056	2338
468	2060	2333
469	2065	2329
470	2069	2324
471	2074	2320
472	2078	2316
473	2083	2311
474	2086	2306
475	2091	2302
