SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.08189158,37,0,0.070708856,5656.0,12,1,0,0,0.0
0,0.023413003,74,0,0.20919729,4870.0,9,0,1,0,0.0
0,0.0,43,0,0.080783843,5000.0,2,0,0,0,2.0
0,0.492754069,44,0,0.412735206,7333.0,4,0,2,0,3.0
0,0.9999999,63,0,0.0,8333.0,3,0,0,0,1.0
0,0.101001988,61,0,0.217114791,15880.0,5,0,1,0,0.0
0,0.222830051,60,0,0.907083016,1312.0,5,0,0,0,0.0
0,0.353443253,39,0,0.764308923,4000.0,11,0,1,0,2.0
0,0.77245509,45,0,0.387178985,5100.0,5,0,1,0,3.0
0,0.116165055,44,0,0.160236293,10833.0,8,0,1,0,0.0
0,0.634814582,68,0,0.420438637,4285.0,7,0,2,0,0.0
0,0.028324292,77,0,0.254090909,4399.0,3,0,1,0,1.0
0,0.270036652,39,0,0.460728851,7600.0,13,0,1,0,3.0
0,0.0,60,0,0.443849313,5600.0,9,0,1,0,0.0
0,0.046580107,34,0,0.359825663,7800.0,10,0,1,0,3.0
1,0.146471656,75,3,0.225887056,2000.0,7,3,0,0,0.0
0,0.09508107,54,0,0.157322706,11040.0,7,0,1,0,0.0
0,0.676226926,46,0,0.770627442,4350.0,12,0,1,0,3.0
0,0.066461413,48,0,0.206128134,4666.0,4,0,1,0,1.0
0,0.144475921,42,0,0.100779844,3333.0,4,0,0,0,2.0
0,0.001699943,91,0,1.0,,3,0,0,0,
0,0.012662446,29,0,0.869297796,1950.0,5,0,2,0,0.0
0,0.144638551,48,0,0.40200563,5683.0,5,0,1,0,1.0
0,0.416340839,49,0,0.535391924,4209.0,8,0,0,2,3.0
0,0.103604189,87,0,0.076401285,2800.0,12,0,0,0,0.0
0,0.0,58,0,71.0,,2,0,0,0,0.0
1,0.0,50,0,0.004168246,7916.0,7,2,0,0,0.0
0,0.21534722,54,1,0.189562088,5000.0,8,0,1,0,2.0
0,0.0,27,0,0.294470353,1500.0,1,1,0,0,0.0
0,0.0,50,0,0.0,,13,0,0,0,0.0
0,0.602073299,46,0,0.431752765,6600.0,10,0,2,0,2.0
0,0.322110775,54,0,0.210480728,6926.0,13,0,1,0,0.0
1,0.9999999,43,98,96.0,,0,98,0,98,0.0
0,0.737175427,58,0,4.222743259,14500.0,7,0,2,0,3.0
0,0.561687662,34,0,0.744455478,6041.0,8,0,2,0,2.0
0,0.455946975,84,2,0.65524136,3500.0,14,0,0,0,0.0
0,0.0,61,0,0.414166828,5166.0,5,0,1,0,1.0
0,0.169149011,29,0,0.150663679,5800.0,6,0,0,0,0.0
0,0.014361343,62,0,0.428295198,3102.0,7,0,1,0,0.0
0,0.025049151,51,0,0.263076126,5792.0,9,0,1,0,3.0
0,0.277032266,44,0,0.612191025,4166.0,9,0,1,0,0.0
0,0.004749703,72,2,0.092461474,2400.0,7,0,0,0,0.0
0,0.015116469,61,0,0.38592443,6933.0,12,0,1,0,0.0
0,0.279900008,47,0,0.140242988,20000.0,7,0,2,0,2.0
0,0.156296093,68,0,0.025829746,7200.0,2,0,0,0,0.0
0,0.00101972,77,0,0.000333222,3000.0,10,0,0,0,0.0
0,0.0,66,0,0.433901381,9916.0,11,0,4,0,0.0
0,0.070943635,36,0,0.617076585,5000.0,5,0,3,0,0.0
0,0.461426929,57,0,0.237813302,15200.0,8,0,2,0,2.0
0,0.169287387,46,0,0.258103605,3300.0,6,0,1,0,2.0
0,0.505345743,49,0,0.428905597,5984.0,9,0,2,0,1.0
0,0.014956197,69,0,0.292454749,4916.0,9,0,1,0,0.0
0,0.06939653,39,0,0.449248697,6521.0,6,0,2,0,1.0
0,0.00665956,57,0,0.049785758,4900.0,16,0,0,0,3.0
0,0.0,80,1,0.0342711,1954.0,7,0,0,0,0.0
0,0.9999999,48,0,0.229624652,10416.0,6,0,1,0,1.0
0,0.030330325,54,0,0.557837628,5160.0,10,0,2,0,0.0
0,0.178788081,26,0,0.105193076,750.0,3,0,0,0,0.0
0,0.014985493,40,1,0.342665569,8500.0,10,0,2,0,0.0
0,0.0,43,0,0.209966134,6200.0,7,0,1,0,2.0
0,0.088806033,81,1,0.330842053,8027.0,11,0,2,0,0.0
0,0.301248658,32,0,0.41927743,7500.0,11,0,1,0,0.0
0,1.021282674,41,1,0.107504811,7794.0,6,0,0,0,1.0
0,0.876926923,35,0,0.23150411,4500.0,9,0,0,0,2.0
0,0.057330945,42,0,0.254772438,16500.0,15,0,1,0,2.0
0,0.188296234,48,0,0.473556345,5350.0,10,0,1,0,3.0
0,0.9999999,22,0,0.0,,0,0,0,0,
0,0.433504306,62,0,0.212807667,4590.0,11,0,0,0,0.0
0,0.004285616,36,0,0.787616991,4166.0,9,0,2,0,1.0
0,0.202718081,48,0,0.641600417,7672.0,13,0,2,0,2.0
0,0.046949218,56,0,0.183402706,11531.0,9,0,1,0,2.0
0,0.699159282,26,0,0.204926812,2800.0,5,0,0,0,1.0
0,0.9999999,62,0,0.271104128,7000.0,7,0,1,0,0.0
0,0.9999999,50,0,0.462648193,7000.0,3,0,1,0,1.0
0,0.9999999,26,98,0.0,,0,98,0,98,0.0
0,0.897563143,49,0,1.599818512,2203.0,11,0,2,0,4.0
0,0.625861348,65,0,0.75671172,5400.0,19,0,1,0,0.0
0,0.259673588,61,0,0.626053421,7000.0,18,0,2,0,1.0
0,0.345819552,34,1,0.018349083,20000.0,4,0,0,0,0.0
0,0.101252917,38,0,0.187799636,6048.0,8,0,0,0,3.0
0,0.273350471,54,0,0.305686191,2338.0,4,0,0,0,1.0
0,0.123235982,28,0,0.267294118,2124.0,3,0,0,0,1.0
0,0.431678864,38,0,0.65445494,7833.0,14,0,1,0,2.0
0,0.225954267,62,0,0.203450844,8055.0,5,0,1,0,0.0
0,0.482930004,41,0,0.110577884,5000.0,8,0,0,0,2.0
0,0.297639809,27,1,0.221818182,2199.0,7,0,0,0,0.0
0,0.722455509,62,3,0.192544571,3084.0,7,0,0,0,0.0
0,0.558490995,39,0,0.220207254,2701.0,7,0,0,0,0.0
0,0.96946845,61,2,0.363421747,7200.0,14,0,0,1,0.0
0,0.412195148,63,0,0.140076674,10172.0,18,0,0,0,0.0
0,0.048341494,54,0,54.0,,3,0,0,0,
0,0.133241672,47,0,0.231077064,8745.0,2,0,1,0,3.0
0,0.070958657,70,0,0.815096465,7100.0,11,0,4,0,0.0
0,0.611453962,79,0,0.208620307,4500.0,6,0,1,0,0.0
0,0.041543252,55,0,0.421450988,5416.0,9,0,2,0,1.0
0,0.843371805,45,0,0.185965468,6312.0,3,0,1,0,0.0
0,0.254713377,78,0,0.434376008,3100.0,11,0,1,0,0.0
0,0.322795341,36,1,0.191890947,2860.0,5,0,0,0,0.0
0,0.097773938,61,0,0.47107438,3024.0,17,0,1,0,0.0
0,0.846307385,26,4,0.119891008,1100.0,4,0,0,0,0.0
0,0.560273573,45,1,0.340528239,14500.0,16,0,2,0,2.0
0,0.017636804,43,0,0.592281544,5000.0,11,0,1,0,2.0
0,0.31181921,52,0,0.295672431,11160.0,6,0,2,0,2.0
0,0.584423593,48,0,0.162233293,10638.0,5,0,0,0,2.0
1,0.63721505,42,0,0.315337423,4889.0,6,0,0,0,0.0
0,0.99719653,52,0,0.937113777,2750.0,10,0,2,0,2.0
0,0.006044347,84,0,0.257755474,4383.0,22,0,1,0,0.0
0,0.10319656,70,0,0.287428143,4000.0,5,0,1,0,0.0
0,0.14344333,58,0,0.664131812,4733.0,5,0,1,0,0.0
1,0.981006331,24,1,0.01223951,25000.0,6,0,0,0,0.0
0,0.513035528,59,0,0.332167832,12583.0,9,0,2,0,2.0
0,0.855568929,25,0,0.170494461,3700.0,5,0,0,0,0.0
0,0.012682196,41,0,0.120621543,7593.0,8,0,1,0,0.0
0,0.003157819,53,0,0.110353939,14380.0,12,0,2,0,1.0
0,0.0,50,1,0.416822969,6930.0,11,0,2,0,0.0
0,0.871604036,35,1,0.46355309,7750.0,8,0,2,0,2.0
0,0.411942821,53,0,0.359691693,7005.0,8,0,1,0,0.0
0,0.01499925,27,0,0.346663567,4300.0,13,0,1,0,0.0
0,0.021449464,73,0,0.808039732,30000.0,15,0,3,0,2.0
0,0.476790458,55,0,0.336103994,16000.0,8,0,2,0,3.0
0,0.208142976,50,0,0.35942029,5519.0,10,0,1,0,2.0
0,0.838652861,53,0,0.372635614,12000.0,8,0,2,0,0.0
0,0.0,69,0,0.0,,2,0,0,0,1.0
0,0.049231692,69,0,44.0,,2,0,0,0,0.0
0,0.142042898,64,0,85.0,,3,0,0,0,1.0
0,0.017205521,64,0,0.246917694,3000.0,12,0,1,0,1.0
0,0.174309915,39,0,0.356343728,4200.0,18,0,3,0,1.0
0,0.100735863,37,0,0.418930594,10416.0,20,0,2,0,0.0
0,1.076558266,56,1,0.522594365,3761.0,8,1,1,1,1.0
0,0.139117149,54,0,0.231471066,8000.0,7,0,1,0,2.0
0,0.9999999,60,0,0.35994715,5297.0,9,0,1,0,1.0
0,0.341079539,45,1,0.485669851,4500.0,10,0,1,0,0.0
0,0.306615766,69,0,0.295200893,5375.0,12,0,1,0,0.0
0,1.347578348,30,1,0.007679649,1822.0,1,0,0,0,1.0
0,0.001838168,53,0,0.713095635,3000.0,5,0,1,0,0.0
0,0.0,54,0,0.000749906,8000.0,3,0,0,0,1.0
