No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
1,2019,1,1,0,,-21,-11.0,1021.0,NW,1.79,0,0
2,2019,1,1,1,,-21,-12.0,1020.0,NW,4.92,0,0
3,2019,1,1,2,,-21,-11.0,1019.0,NW,6.71,0,0
4,2019,1,1,3,,-21,-14.0,1019.0,NW,9.84,0,0
5,2019,1,1,4,,-20,-12.0,1018.0,NW,12.97,0,0
6,2019,1,1,5,,-19,-10.0,1017.0,NW,16.1,0,0
7,2019,1,1,6,,-19,-9.0,1017.0,NW,19.23,0,0
8,2019,1,1,7,,-19,-9.0,1017.0,NW,21.02,0,0
9,2019,1,1,8,,-19,-9.0,1017.0,NW,24.15,0,0
10,2019,1,1,9,,-20,-8.0,1017.0,NW,27.28,0,0
11,2019,1,1,10,,-19,-7.0,1017.0,NW,31.3,0,0
12,2019,1,1,11,,-18,-5.0,1017.0,NW,34.43,0,0
13,2019,1,1,12,,-19,-5.0,1015.0,NW,37.56,0,0
14,2019,1,1,13,,-18,-3.0,1015.0,NW,40.69,0,0
15,2019,1,1,14,,-18,-2.0,1014.0,NW,43.82,0,0
16,2019,1,1,15,,-18,-1.0,1014.0,cv,0.89,0,0
17,2019,1,1,16,,-19,-2.0,1015.0,NW,1.79,0,0
18,2019,1,1,17,,-18,-3.0,1015.0,NW,2.68,0,0
19,2019,1,1,18,,-18,-5.0,1016.0,NE,1.79,0,0
20,2019,1,1,19,,-17,-4.0,1017.0,NW,1.79,0,0
21,2019,1,1,20,,-17,-5.0,1017.0,cv,0.89,0,0
22,2019,1,1,21,,-17,-5.0,1018.0,NW,1.79,0,0
23,2019,1,1,22,,-17,-5.0,1018.0,NW,2.68,0,0
24,2019,1,1,23,,-17,-5.0,1020.0,cv,0.89,0,0
25,2019,1,2,0,129.0,-16,-4.0,1020.0,SE,1.79,0,0
26,2019,1,2,1,148.0,-15,-4.0,1020.0,SE,2.68,0,0
27,2019,1,2,2,159.0,-11,-5.0,1021.0,SE,3.57,0,0
28,2019,1,2,3,181.0,-7,-5.0,1022.0,SE,5.36,1,0
29,2019,1,2,4,138.0,-7,-5.0,1022.0,SE,6.25,2,0
30,2019,1,2,5,109.0,-7,-6.0,1022.0,SE,7.14,3,0
31,2019,1,2,6,105.0,-7,-6.0,1023.0,SE,8.93,4,0
32,2019,1,2,7,124.0,-7,-5.0,1024.0,SE,10.72,0,0
33,2019,1,2,8,120.0,-8,-6.0,1024.0,SE,12.51,0,0
34,2019,1,2,9,132.0,-7,-5.0,1025.0,SE,14.3,0,0
35,2019,1,2,10,140.0,-7,-5.0,1026.0,SE,17.43,1,0
36,2019,1,2,11,152.0,-8,-5.0,1026.0,SE,20.56,0,0
37,2019,1,2,12,148.0,-8,-5.0,1026.0,SE,23.69,0,0
38,2019,1,2,13,164.0,-8,-5.0,1025.0,SE,27.71,0,0
39,2019,1,2,14,158.0,-9,-5.0,1025.0,SE,31.73,0,0
40,2019,1,2,15,154.0,-9,-5.0,1025.0,SE,35.75,0,0
41,2019,1,2,16,159.0,-9,-5.0,1026.0,SE,37.54,0,0
42,2019,1,2,17,164.0,-8,-5.0,1027.0,SE,39.33,0,0
43,2019,1,2,18,170.0,-8,-5.0,1027.0,SE,42.46,0,0
44,2019,1,2,19,149.0,-8,-5.0,1028.0,SE,44.25,0,0
45,2019,1,2,20,154.0,-7,-5.0,1028.0,SE,46.04,0,0
46,2019,1,2,21,164.0,-7,-5.0,1027.0,SE,49.17,1,0
47,2019,1,2,22,156.0,-8,-6.0,1028.0,SE,52.3,2,0
48,2019,1,2,23,126.0,-8,-6.0,1027.0,SE,55.43,3,0
49,2019,1,3,0,90.0,-7,-6.0,1027.0,SE,58.56,4,0
50,2019,1,3,1,63.0,-8,-6.0,1026.0,SE,61.69,5,0
51,2019,1,3,2,65.0,-8,-7.0,1026.0,SE,65.71,6,0
52,2019,1,3,3,55.0,-8,-7.0,1025.0,SE,68.84,7,0
53,2019,1,3,4,65.0,-8,-7.0,1024.0,SE,72.86,8,0
54,2019,1,3,5,83.0,-9,-8.0,1024.0,SE,76.88,9,0
55,2019,1,3,6,91.0,-10,-8.0,1024.0,SE,80.9,10,0
56,2019,1,3,7,86.0,-10,-9.0,1024.0,SE,84.92,11,0
57,2019,1,3,8,82.0,-10,-9.0,1024.0,SE,89.84,12,0
58,2019,1,3,9,86.0,-11,-9.0,1023.0,SE,93.86,13,0
59,2019,1,3,10,78.0,-11,-9.0,1023.0,SE,97.88,15,0
60,2019,1,3,11,98.0,-11,-9.0,1022.0,SE,102.8,16,0
61,2019,1,3,12,107.0,-11,-9.0,1021.0,SE,105.93,17,0
62,2019,1,3,13,90.0,-11,-9.0,1020.0,SE,111.74,19,0
63,2019,1,3,14,96.0,-11,-9.0,1020.0,SE,116.66,20,0
64,2019,1,3,15,95.0,-11,-9.0,1020.0,SE,121.58,21,0
65,2019,1,3,16,86.0,-11,-9.0,1020.0,SE,124.71,22,0
66,2019,1,3,17,70.0,-11,-9.0,1020.0,SE,127.84,23,0
67,2019,1,3,18,61.0,-11,-9.0,1021.0,cv,0.89,24,0
68,2019,1,3,19,53.0,-11,-9.0,1022.0,cv,1.78,25,0
69,2019,1,3,20,71.0,-10,-9.0,1022.0,NW,4.02,26,0
70,2019,1,3,21,72.0,-11,-10.0,1023.0,NW,7.15,27,0
71,2019,1,3,22,76.0,-11,-9.0,1023.0,NW,11.17,0,0
72,2019,1,3,23,73.0,-12,-11.0,1023.0,NW,14.3,0,0
73,2019,1,4,0,79.0,-14,-12.0,1023.0,NW,16.09,0,0
74,2019,1,4,1,58.0,-16,-9.0,1023.0,NW,21.9,0,0
75,2019,1,4,2,25.0,-17,-10.0,1024.0,NW,29.95,0,0
76,2019,1,4,3,26.0,-18,-11.0,1024.0,NW,39.78,0,0
77,2019,1,4,4,28.0,-19,-11.0,1025.0,NW,48.72,0,0
78,2019,1,4,5,26.0,-20,-12.0,1026.0,NW,55.87,0,0
79,2019,1,4,6,20.0,-21,-12.0,1027.0,NW,64.81,0,0
80,2019,1,4,7,29.0,-21,-13.0,1027.0,NW,73.75,0,0
81,2019,1,4,8,26.0,-22,-13.0,1028.0,NW,80.9,0,0
82,2019,1,4,9,27.0,-22,-13.0,1029.0,NW,90.73,0,0
83,2019,1,4,10,27.0,-22,-12.0,1030.0,NW,100.56,0,0
84,2019,1,4,11,25.0,-23,-12.0,1031.0,NW,108.61,0,0
85,2019,1,4,12,29.0,-21,-11.0,1030.0,NW,117.55,0,0
86,2019,1,4,13,32.0,-20,-10.0,1030.0,NW,127.38,0,0
87,2019,1,4,14,28.0,-21,-10.0,1030.0,NW,136.32,0,0
88,2019,1,4,15,29.0,-21,-9.0,1030.0,NW,145.26,0,0
89,2019,1,4,16,30.0,-21,-9.0,1031.0,NW,152.41,0,0
90,2019,1,4,17,30.0,-20,-11.0,1032.0,NW,159.56,0,0
91,2019,1,4,18,28.0,-23,-11.0,1032.0,NW,165.37,0,0
92,2019,1,4,19,26.0,-21,-12.0,1033.0,NW,171.18,0,0
93,2019,1,4,20,31.0,-24,-12.0,1034.0,NW,180.12,0,0
94,2019,1,4,21,33.0,-24,-13.0,1034.0,NW,187.27,0,0
95,2019,1,4,22,29.0,-24,-13.0,1035.0,NW,195.32,0,0
96,2019,1,4,23,31.0,-26,-15.0,1035.0,NW,198.45,0,0
97,2019,1,5,0,30.0,-26,-17.0,1035.0,NW,201.58,0,0
98,2019,1,5,1,34.0,-26,-18.0,1035.0,NW,205.6,0,0
99,2019,1,5,2,27.0,-26,-19.0,1035.0,NW,208.73,0,0
100,2019,1,5,3,25.0,-27,-18.0,1035.0,NW,213.65,0,0
101,2019,1,5,4,28.0,-27,-19.0,1035.0,NW,218.57,0,0
102,2019,1,5,5,28.0,-27,-16.0,1034.0,NE,4.92,0,0
103,2019,1,5,6,27.0,-26,-16.0,1035.0,NE,8.05,0,0
104,2019,1,5,7,27.0,-27,-16.0,1034.0,NE,13.86,0,0
105,2019,1,5,8,27.0,-26,-16.0,1035.0,NE,18.78,0,0
106,2019,1,5,9,29.0,-26,-15.0,1035.0,NE,24.59,0,0
107,2019,1,5,10,36.0,-25,-14.0,1035.0,NE,29.51,0,0
108,2019,1,5,11,30.0,-25,-13.0,1035.0,NE,34.43,0,0
109,2019,1,5,12,27.0,-25,-12.0,1034.0,NE,39.35,0,0
110,2019,1,5,13,39.0,-24,-11.0,1032.0,NE,41.14,0,0
111,2019,1,5,14,41.0,-22,-11.0,1032.0,cv,0.89,0,0
112,2019,1,5,15,33.0,-23,-11.0,1031.0,NW,1.79,0,0
113,2019,1,5,16,50.0,-24,-11.0,1031.0,NW,3.58,0,0
114,2019,1,5,17,56.0,-23,-11.0,1031.0,NW,5.37,0,0
115,2019,1,5,18,59.0,-23,-11.0,1032.0,NW,7.16,0,0
116,2019,1,5,19,60.0,-22,-13.0,1033.0,NW,10.29,0,0
117,2019,1,5,20,84.0,-22,-12.0,1033.0,NW,13.42,0,0
118,2019,1,5,21,106.0,-24,-18.0,1033.0,NW,16.55,0,0
119,2019,1,5,22,66.0,-22,-13.0,1034.0,NW,20.57,0,0
120,2019,1,5,23,50.0,-22,-16.0,1033.0,NW,23.7,0,0
121,2019,1,6,0,56.0,-25,-17.0,1033.0,NW,26.83,0,0
122,2019,1,6,1,77.0,-25,-14.0,1033.0,NE,4.02,0,0
123,2019,1,6,2,50.0,-26,-14.0,1034.0,NE,8.04,0,0
124,2019,1,6,3,44.0,-26,-14.0,1033.0,NE,13.85,0,0
125,2019,1,6,4,27.0,-26,-14.0,1033.0,NE,17.87,0,0
126,2019,1,6,5,28.0,-26,-14.0,1033.0,NE,23.68,0,0
127,2019,1,6,6,21.0,-26,-14.0,1033.0,NE,28.6,0,0
128,2019,1,6,7,25.0,-26,-15.0,1034.0,NE,33.52,0,0
129,2019,1,6,8,20.0,-26,-14.0,1034.0,NE,39.33,0,0
130,2019,1,6,9,29.0,-25,-13.0,1035.0,NE,44.25,0,0
131,2019,1,6,10,34.0,-25,-12.0,1035.0,NE,50.06,0,0
132,2019,1,6,11,42.0,-24,-11.0,1035.0,NE,54.98,0,0
133,2019,1,6,12,28.0,-24,-10.0,1034.0,NE,59.0,0,0
134,2019,1,6,13,36.0,-22,-10.0,1033.0,NW,4.02,0,0
135,2019,1,6,14,48.0,-22,-9.0,1033.0,NW,5.81,0,0
136,2019,1,6,15,49.0,-22,-8.0,1033.0,cv,0.89,0,0
137,2019,1,6,16,52.0,-22,-8.0,1033.0,NW,1.79,0,0
138,2019,1,6,17,56.0,-21,-9.0,1033.0,NW,3.58,0,0
139,2019,1,6,18,96.0,-22,-9.0,1033.0,NW,5.37,0,0
140,2019,1,6,19,75.0,-22,-14.0,1034.0,cv,0.89,0,0
141,2019,1,6,20,105.0,-22,-12.0,1035.0,NW,1.79,0,0
142,2019,1,6,21,132.0,-21,-14.0,1034.0,NW,3.58,0,0
143,2019,1,6,22,93.0,-22,-16.0,1035.0,NW,5.37,0,0
144,2019,1,6,23,131.0,-21,-16.0,1035.0,NW,7.16,0,0
145,2019,1,7,0,127.0,-21,-16.0,1035.0,NW,8.95,0,0
146,2019,1,7,1,130.0,-21,-16.0,1035.0,cv,0.45,0,0
147,2019,1,7,2,43.0,-22,-18.0,1036.0,cv,1.34,0,0
148,2019,1,7,3,37.0,-23,-15.0,1036.0,NW,4.02,0,0
149,2019,1,7,4,30.0,-24,-16.0,1035.0,NW,7.15,0,0
150,2019,1,7,5,28.0,-25,-15.0,1035.0,NW,10.28,0,0
151,2019,1,7,6,24.0,-24,-15.0,1035.0,NW,14.3,0,0
152,2019,1,7,7,23.0,-25,-13.0,1036.0,NE,4.92,0,0
153,2019,1,7,8,24.0,-24,-14.0,1036.0,NW,4.02,0,0
154,2019,1,7,9,27.0,-23,-12.0,1036.0,NW,8.94,0,0
155,2019,1,7,10,40.0,-22,-11.0,1036.0,NW,12.96,0,0
156,2019,1,7,11,42.0,-20,-10.0,1036.0,NW,16.09,0,0
157,2019,1,7,12,42.0,-21,-9.0,1035.0,NW,19.22,0,0
158,2019,1,7,13,55.0,-21,-8.0,1034.0,NW,21.01,0,0
159,2019,1,7,14,52.0,-20,-7.0,1033.0,NW,22.8,0,0
160,2019,1,7,15,51.0,-20,-7.0,1032.0,NW,24.59,0,0
161,2019,1,7,16,57.0,-18,-8.0,1032.0,NW,26.38,0,0
162,2019,1,7,17,50.0,-19,-9.0,1032.0,NW,28.17,0,0
163,2019,1,7,18,54.0,-19,-11.0,1032.0,NE,0.89,0,0
164,2019,1,7,19,67.0,-18,-11.0,1033.0,NW,1.79,0,0
165,2019,1,7,20,106.0,-19,-15.0,1032.0,NE,1.79,0,0
166,2019,1,7,21,159.0,-19,-14.0,1032.0,cv,0.45,0,0
167,2019,1,7,22,198.0,-21,-14.0,1032.0,cv,1.34,0,0
168,2019,1,7,23,190.0,-21,-16.0,1032.0,cv,2.23,0,0
169,2019,1,8,0,210.0,-21,-17.0,1031.0,NW,1.79,0,0
170,2019,1,8,1,195.0,-19,-16.0,1031.0,NW,3.58,0,0
171,2019,1,8,2,275.0,-20,-16.0,1031.0,NE,0.89,0,0
172,2019,1,8,3,164.0,-19,-15.0,1030.0,SE,0.89,0,0
173,2019,1,8,4,110.0,-18,-15.0,1030.0,cv,0.45,0,0
174,2019,1,8,5,100.0,-18,-15.0,1029.0,cv,1.34,0,0
175,2019,1,8,6,81.0,-18,-15.0,1029.0,NW,1.79,0,0
176,2019,1,8,7,71.0,-16,-13.0,1029.0,NE,0.89,0,0
177,2019,1,8,8,66.0,-16,-12.0,1029.0,SE,0.89,0,0
178,2019,1,8,9,92.0,-16,-12.0,1030.0,SE,1.78,0,0
179,2019,1,8,10,135.0,-17,-10.0,1030.0,NE,0.89,0,0
180,2019,1,8,11,155.0,-16,-10.0,1029.0,cv,0.89,0,0
181,2019,1,8,12,198.0,-16,-9.0,1028.0,SE,3.13,0,0
182,2019,1,8,13,250.0,-15,-8.0,1026.0,SE,4.92,0,0
183,2019,1,8,14,200.0,-16,-8.0,1026.0,cv,0.89,0,0
184,2019,1,8,15,231.0,-16,-8.0,1025.0,cv,1.78,0,0
185,2019,1,8,16,250.0,-16,-8.0,1025.0,cv,2.67,0,0
186,2019,1,8,17,212.0,-17,-8.0,1025.0,SE,0.89,0,0
187,2019,1,8,18,219.0,-17,-9.0,1026.0,cv,0.45,0,0
188,2019,1,8,19,227.0,-17,-11.0,1026.0,cv,1.34,0,0
